nm	Abs
700.00	-0.013
699.80	-0.012
699.60	-0.013
699.40	-0.012
699.20	-0.012
699.00	-0.012
698.80	-0.012
698.60	-0.012
698.40	-0.012
698.20	-0.013
698.00	-0.013
697.80	-0.013
697.60	-0.012
697.40	-0.013
697.20	-0.012
697.00	-0.012
696.80	-0.012
696.60	-0.012
696.40	-0.012
696.20	-0.012
696.00	-0.012
695.80	-0.013
695.60	-0.013
695.40	-0.012
695.20	-0.012
695.00	-0.013
694.80	-0.012
694.60	-0.012
694.40	-0.012
694.20	-0.012
694.00	-0.012
693.80	-0.012
693.60	-0.012
693.40	-0.013
693.20	-0.011
693.00	-0.012
692.80	-0.013
692.60	-0.013
692.40	-0.013
692.20	-0.012
692.00	-0.012
691.80	-0.013
691.60	-0.012
691.40	-0.013
691.20	-0.012
691.00	-0.012
690.80	-0.013
690.60	-0.012
690.40	-0.012
690.20	-0.012
690.00	-0.013
689.80	-0.012
689.60	-0.012
689.40	-0.013
689.20	-0.012
689.00	-0.012
688.80	-0.012
688.60	-0.013
688.40	-0.012
688.20	-0.012
688.00	-0.012
687.80	-0.012
687.60	-0.012
687.40	-0.012
687.20	-0.012
687.00	-0.013
686.80	-0.013
686.60	-0.012
686.40	-0.012
686.20	-0.012
686.00	-0.013
685.80	-0.013
685.60	-0.013
685.40	-0.012
685.20	-0.012
685.00	-0.013
684.80	-0.013
684.60	-0.012
684.40	-0.012
684.20	-0.013
684.00	-0.012
683.80	-0.012
683.60	-0.012
683.40	-0.012
683.20	-0.013
683.00	-0.013
682.80	-0.012
682.60	-0.013
682.40	-0.013
682.20	-0.013
682.00	-0.013
681.80	-0.012
681.60	-0.012
681.40	-0.013
681.20	-0.013
681.00	-0.011
680.80	-0.012
680.60	-0.013
680.40	-0.012
680.20	-0.011
680.00	-0.012
679.80	-0.012
679.60	-0.013
679.40	-0.011
679.20	-0.012
679.00	-0.013
678.80	-0.012
678.60	-0.012
678.40	-0.013
678.20	-0.013
678.00	-0.012
677.80	-0.012
677.60	-0.011
677.40	-0.011
677.20	-0.012
677.00	-0.012
676.80	-0.011
676.60	-0.012
676.40	-0.012
