nm	Abs
700.00	-0.012
699.80	-0.011
699.60	-0.012
699.40	-0.012
699.20	-0.011
699.00	-0.012
698.80	-0.013
698.60	-0.012
698.40	-0.011
698.20	-0.012
698.00	-0.013
697.80	-0.013
697.60	-0.012
697.40	-0.012
697.20	-0.012
697.00	-0.012
696.80	-0.011
696.60	-0.012
696.40	-0.012
696.20	-0.012
696.00	-0.011
695.80	-0.012
695.60	-0.011
695.40	-0.011
695.20	-0.012
695.00	-0.012
694.80	-0.012
694.60	-0.012
694.40	-0.011
694.20	-0.011
694.00	-0.012
693.80	-0.012
693.60	-0.012
693.40	-0.012
693.20	-0.011
693.00	-0.012
692.80	-0.011
692.60	-0.012
692.40	-0.013
692.20	-0.011
692.00	-0.011
691.80	-0.013
691.60	-0.012
691.40	-0.012
691.20	-0.012
691.00	-0.013
690.80	-0.012
690.60	-0.011
690.40	-0.013
690.20	-0.012
690.00	-0.012
689.80	-0.012
689.60	-0.012
689.40	-0.013
689.20	-0.011
689.00	-0.011
688.80	-0.012
688.60	-0.012
688.40	-0.012
688.20	-0.012
688.00	-0.012
687.80	-0.012
687.60	-0.012
687.40	-0.011
687.20	-0.012
687.00	-0.012
686.80	-0.012
686.60	-0.012
686.40	-0.012
686.20	-0.013
686.00	-0.012
685.80	-0.012
685.60	-0.012
685.40	-0.012
685.20	-0.011
685.00	-0.013
684.80	-0.012
684.60	-0.012
684.40	-0.012
684.20	-0.012
684.00	-0.012
683.80	-0.012
683.60	-0.012
683.40	-0.012
683.20	-0.012
683.00	-0.012
682.80	-0.013
682.60	-0.013
682.40	-0.013
682.20	-0.012
682.00	-0.013
681.80	-0.013
681.60	-0.012
681.40	-0.012
681.20	-0.013
681.00	-0.012
680.80	-0.012
680.60	-0.012
680.40	-0.012
680.20	-0.012
680.00	-0.012
679.80	-0.013
679.60	-0.012
679.40	-0.012
679.20	-0.012
679.00	-0.012
678.80	-0.011
678.60	-0.012
678.40	-0.013
678.20	-0.012
678.00	-0.012
677.80	-0.012
677.60	-0.012
677.40	-0.012
677.20	-0.011
677.00	-0.012
676.80	-0.011
676.60	-0.012
676.40	-0.012
676.20	-0.011
676.00	-0.012
675.80	-0.013
675.60	-0.012
675.40	-0.012
675.20	-0.013
675.00	-0.012
674.80	-0.012
674.60	-0.012
674.40	-0.013
674.20	-0.012
674.00	-0.013
673.80	-0.012
673.60	-0.012
673.40	-0.012
673.20	-0.013
673.00	-0.012
672.80	-0.012
672.60	-0.012
672.40	-0.012
672.20	-0.012
672.00	-0.011
671.80	-0.011
671.60	-0.012
671.40	-0.012
671.20	-0.012
671.00	-0.013
670.80	-0.013
670.60	-0.013
670.40	-0.012
670.20	-0.012
670.00	-0.012
669.80	-0.012
669.60	-0.012
669.40	-0.012
669.20	-0.012
669.00	-0.012
668.80	-0.012
668.60	-0.012
668.40	-0.012
668.20	-0.012
668.00	-0.013
667.80	-0.012
667.60	-0.012
667.40	-0.013
667.20	-0.012
667.00	-0.012
666.80	-0.013
666.60	-0.012
666.40	-0.012
666.20	-0.012
666.00	-0.012
665.80	-0.013
665.60	-0.012
665.40	-0.012
665.20	-0.012
665.00	-0.012
664.80	-0.012
664.60	-0.012
664.40	-0.013
664.20	-0.013
664.00	-0.012
663.80	-0.012
663.60	-0.012
663.40	-0.013
663.20	-0.012
663.00	-0.012
662.80	-0.013
662.60	-0.012
662.40	-0.012
662.20	-0.012
662.00	-0.012
661.80	-0.012
661.60	-0.012
661.40	-0.012
661.20	-0.012
661.00	-0.013
660.80	-0.013
660.60	-0.011
660.40	-0.013
660.20	-0.013
660.00	-0.012
659.80	-0.012
659.60	-0.012
659.40	-0.013
659.20	-0.013
659.00	-0.012
658.80	-0.011
658.60	-0.012
658.40	-0.013
658.20	-0.012
658.00	-0.013
657.80	-0.012
657.60	-0.013
657.40	-0.012
657.20	-0.012
657.00	-0.012
656.80	-0.013
656.60	-0.012
656.40	-0.012
656.20	-0.012
656.00	-0.012
655.80	-0.013
655.60	-0.012
655.40	-0.013
655.20	-0.012
655.00	-0.013
654.80	-0.012
654.60	-0.012
654.40	-0.013
654.20	-0.013
654.00	-0.011
653.80	-0.012
653.60	-0.012
653.40	-0.012
653.20	-0.012
653.00	-0.013
652.80	-0.012
652.60	-0.012
652.40	-0.013
652.20	-0.012
652.00	-0.013
651.80	-0.012
651.60	-0.012
651.40	-0.011
651.20	-0.012
651.00	-0.012
650.80	-0.013
650.60	-0.012
650.40	-0.012
650.20	-0.012
650.00	-0.012
649.80	-0.013
649.60	-0.012
649.40	-0.012
649.20	-0.011
649.00	-0.012
648.80	-0.012
648.60	-0.012
648.40	-0.013
648.20	-0.012
648.00	-0.013
647.80	-0.013
647.60	-0.012
647.40	-0.012
647.20	-0.012
647.00	-0.012
646.80	-0.011
646.60	-0.012
646.40	-0.011
646.20	-0.012
646.00	-0.012
645.80	-0.012
645.60	-0.012
645.40	-0.012
645.20	-0.012
645.00	-0.012
644.80	-0.012
644.60	-0.012
644.40	-0.012
644.20	-0.013
644.00	-0.012
643.80	-0.013
643.60	-0.012
643.40	-0.012
643.20	-0.013
643.00	-0.013
642.80	-0.012
642.60	-0.012
642.40	-0.013
642.20	-0.013
642.00	-0.012
641.80	-0.013
641.60	-0.013
641.40	-0.012
641.20	-0.013
641.00	-0.013
640.80	-0.012
640.60	-0.012
640.40	-0.012
640.20	-0.013
640.00	-0.013
639.80	-0.013
639.60	-0.012
639.40	-0.013
639.20	-0.013
639.00	-0.012
638.80	-0.013
638.60	-0.012
638.40	-0.012
638.20	-0.012
638.00	-0.013
637.80	-0.012
637.60	-0.012
637.40	-0.012
637.20	-0.012
637.00	-0.012
636.80	-0.013
636.60	-0.013
636.40	-0.012
636.20	-0.012
636.00	-0.012
635.80	-0.012
635.60	-0.012
635.40	-0.012
635.20	-0.012
635.00	-0.012
634.80	-0.013
634.60	-0.013
634.40	-0.011
634.20	-0.012
634.00	-0.013
633.80	-0.013
633.60	-0.012
633.40	-0.012
633.20	-0.012
633.00	-0.013
632.80	-0.013
632.60	-0.012
632.40	-0.013
632.20	-0.012
632.00	-0.012
631.80	-0.012
631.60	-0.012
631.40	-0.012
631.20	-0.012
631.00	-0.012
630.80	-0.013
630.60	-0.012
630.40	-0.012
630.20	-0.012
630.00	-0.013
629.80	-0.013
629.60	-0.011
629.40	-0.013
629.20	-0.012
629.00	-0.012
628.80	-0.012
628.60	-0.013
628.40	-0.012
628.20	-0.012
628.00	-0.013
627.80	-0.013
627.60	-0.012
627.40	-0.013
627.20	-0.013
627.00	-0.012
626.80	-0.012
626.60	-0.013
626.40	-0.012
626.20	-0.013
626.00	-0.012
625.80	-0.013
625.60	-0.013
625.40	-0.013
625.20	-0.012
625.00	-0.012
624.80	-0.012
624.60	-0.012
624.40	-0.012
624.20	-0.012
624.00	-0.012
623.80	-0.012
623.60	-0.012
623.40	-0.012
623.20	-0.011
623.00	-0.013
622.80	-0.013
622.60	-0.012
622.40	-0.013
622.20	-0.012
622.00	-0.012
621.80	-0.013
621.60	-0.013
621.40	-0.012
621.20	-0.013
621.00	-0.012
620.80	-0.012
620.60	-0.012
620.40	-0.012
620.20	-0.012
620.00	-0.012
619.80	-0.011
619.60	-0.012
619.40	-0.012
619.20	-0.012
619.00	-0.011
618.80	-0.012
618.60	-0.013
618.40	-0.012
618.20	-0.012
618.00	-0.013
617.80	-0.012
617.60	-0.012
617.40	-0.012
617.20	-0.012
617.00	-0.012
616.80	-0.012
616.60	-0.012
616.40	-0.012
616.20	-0.012
616.00	-0.012
615.80	-0.012
615.60	-0.012
615.40	-0.011
615.20	-0.013
615.00	-0.012
614.80	-0.013
614.60	-0.013
614.40	-0.013
614.20	-0.012
614.00	-0.012
613.80	-0.012
613.60	-0.012
613.40	-0.011
613.20	-0.012
