测量模式,电脑日期,电脑时间,电导率测量结果,电导率单位,温度,温度单位,自动/手动停止,电极ID,仪器系列号,时间间隔
电导率,2020/10/13 星期二,15:42:12,1404,μS/cm,27.7,°C,ATC,,,
电导率,2020/10/13 星期二,15:43:12,1407,μS/cm,28.8,°C,ATC,,,
电导率,2020/10/13 星期二,15:44:13,1407,μS/cm,29.2,°C,ATC,,,
电导率,2020/10/13 星期二,15:45:13,1407,μS/cm,29.5,°C,ATC,,,
电导率,2020/10/13 星期二,15:46:13,1407,μS/cm,29.7,°C,ATC,,,
电导率,2020/10/13 星期二,15:47:14,1407,μS/cm,29.9,°C,ATC,,,
电导率,2020/10/13 星期二,15:48:14,1407,μS/cm,30,°C,ATC,,,
电导率,2020/10/13 星期二,15:49:15,1407,μS/cm,30.1,°C,ATC,,,
电导率,2020/10/13 星期二,15:50:15,1407,μS/cm,30.1,°C,ATC,,,
电导率,2020/10/13 星期二,15:51:15,1406,μS/cm,30.2,°C,ATC,,,
电导率,2020/10/13 星期二,15:52:15,1406,μS/cm,30.3,°C,ATC,,,
电导率,2020/10/13 星期二,15:53:16,1404,μS/cm,30.3,°C,ATC,,,
电导率,2020/10/13 星期二,15:54:16,1404,μS/cm,30.3,°C,ATC,,,
电导率,2020/10/13 星期二,15:55:16,1404,μS/cm,30.4,°C,ATC,,,
电导率,2020/10/13 星期二,15:56:16,1403,μS/cm,30.4,°C,ATC,,,
电导率,2020/10/13 星期二,15:57:17,1403,μS/cm,30.4,°C,ATC,,,
电导率,2020/10/13 星期二,15:57:47,1403,μS/cm,30.5,°C,ATC,-,1232065280,60
