Ê±¼ä            Î¢Ñ¹²î
 .1            241 
 .2            241 
 .5            242 
 .7            242 
 .8            242 
 1             242 
 1.1           243 
 1.4           245 
 1.5           245 
 1.6           246 
 1.9           246 
 2             246 
 2.1           246 
 2.2           246 
 2.4           246 
 2.5           246 
 2.6           246 
 2.7           247 
 2.9           247 
 3             249 
 3.1           249 
 3.2           249 
 3.5           249 
 3.6           249 
 3.7           249 
 3.9           249 
 4             250 
 4.2           250 
 4.5           251 
 4.7           253 
 4.9           253 
 5.1           253 
 5.2           253 
 5.5           253 
 5.7           255 
 5.9           256 
 6.1           257 
 6.2           257 
 6.4           257 
 6.6           257 
 6.7           257 
 6.9           257 
 7.1           257 
 7.2           258 
 7.4           260 
 7.6           260 
 7.7           260 
 7.9           260 
 8.2           260 
 8.3           260 
 8.5           261 
 8.8           263 
 9             264 
 9.2           264 
 9.3           264 
 9.5           264 
 9.7           264 
 9.8           264 
 10            265 
 10.2          265 
 10.3          267 
 10.5          267 
 10.7          267 
 10.8          267 
 11            267 
 11.2          268 
 11.3          268 
 11.5          268 
 11.7          270 
 11.9          271 
 12.1          271 
 12.4          271 
 12.6          271 
 12.9          271 
 13.1          271 
 13.3          271 
 13.5          240 
 13.7          241 
 13.9          241 
 14.1          241 
 14.3          242 
 14.6          244 
 14.8          246 
 15.1          246 
 15.3          246 
 15.6          247 
 15.8          247 
 16            247 
 16.1          249 
 16.3          249 
 16.5          250 
 16.6          250 
 16.8          250 
 17            250 
 17.2          251 
 17.3          251 
 17.5          252 
 17.6          253 
 17.9          253 
 18            254 
 18.1          254 
 18.3          254 
 18.5          254 
 18.6          254 
 18.9          255 
 19            257 
 19.1          257 
 19.3          257 
 19.5          257 
 19.7          257 
 19.8          257 
 20            257 
 20.1          257 
 20.3          258 
 20.5          260 
 20.6          260 
 20.8          260 
 21            260 
 21.1          260 
 21.4          260 
 21.5          260 
 21.6          261 
 21.9          262 
 22            262 
 22.1          263 
 22.3          263 
 22.5          263 
 22.6          263 
 22.8          263 
 23            264 
 23.1          264 
 23.3          264 
 23.5          266 
 23.6          267 
 23.9          267 
 24            267 
 24.1          267 
 24.3          267 
 24.5          267 
 24.6          267 
 24.9          269 
 25            270 
 25.1          270 
 25.3          270 
 25.5          270 
 25.6          270 
 25.9          270 
 26            270 
 26.1          270 
 26.3          270 
 26.5          238 
 26.6          238 
 26.8          239 
 27            240 
 27.1          240 
 27.3          240 
 27.5          240 
 27.6          242 
 27.8          242 
 28            244 
 28.1          245 
 28.3          245 
 28.5          245 
 28.6          245 
 28.9          246 
 29            246 
 29.1          247 
 29.3          247 
 29.5          249 
 29.6          249 
 29.8          249 
 30.1          249 
 30.3          249 
 30.5          251 
 30.7          251 
 30.8          253 
 31            253 
 31.2          253 
 31.3          253 
 31.5          253 
 31.7          253 
 31.8          253 
 32.1          255 
 32.2          255 
 32.5          257 
 32.6          257 
 32.7          257 
 32.9          257 
 33            257 
 33.2          257 
 33.4          258 
 33.5          258 
 33.6          260 
 33.8          260 
 33.9          260 
 34            260 
 34.1          260 
 34.3          260 
 34.4          260 
 34.5          260 
 34.6          260 
 34.7          260 
 34.9          260 
 35            262 
 35.1          262 
 35.2          264 
 35.4          264 
 35.6          264 
 35.7          264 
 35.9          264 
 36.1          264 
 36.2          265 
 36.4          265 
 36.5          266 
 36.6          266 
 36.8          267 
 36.9          267 
 37            267 
 37.1          267 
 37.2          267 
 37.4          267 
 37.5          268 
 37.6          268 
 37.8          269 
 37.9          269 
 38            271 
 38.1          271 
 38.2          271 
 38.5          271 
 38.6          271 
 38.7          271 
 39            271 
 39.1          271 
 39.2          271 
 39.5          271 
 39.6          240 
 39.7          240 
 39.9          240 
 40.1          240 
 40.2          241 
 40.5          242 
 40.6          242 
 40.7          244 
 40.9          246 
 41            246 
 41.1          246 
 41.2          246 
 41.4          246 
 41.5          246 
 41.7          246 
 41.9          246 
 42            247 
 42.2          247 
 42.4          249 
 42.5          250 
 42.6          250 
 42.8          250 
 42.9          250 
 43            250 
 43.1          250 
 43.2          250 
 43.4          251 
 43.5          252 
 43.6          252 
 43.8          252 
 43.9          254 
 44            254 
 44.1          255 
 44.2          255 
 44.4          255 
 44.5          255 
 44.6          255 
 44.7          255 
 44.9          255 
 45            255 
 45.1          257 
 45.3          257 
 45.4          258 
 45.5          258 
 45.6          258 
 45.7          258 
 46            258 
 46.1          258 
 46.2          258 
 46.4          260 
 46.5          260 
 46.6          262 
 46.8          262 
 46.9          262 
 47            262 
 47.1          262 
 47.3          262 
 47.4          262 
 47.5          262 
 47.6          262 
 47.7          262 
 47.9          262 
 48.1          264 
 48.2          264 
 48.4          265 
 48.5          266 
 48.6          266 
 48.7          266 
 49            266 
 49.1          266 
 49.2          266 
 49.4          266 
 49.5          266 
 49.6          268 
 49.8          268 
 49.9          269 
 50            269 
 50.1          269 
 50.2          269 
 50.5          269 
 50.6          269 
 50.7          269 
 50.9          270 
 51            270 
 51.2          271 
 51.4          272 
 51.5          272 
 51.6          272 
 51.7          272 
 51.9          272 
 52.1          272 
 52.2          273 
 52.4          273 
 52.5          273 
 52.7          273 
 52.9          273 
 53            273 
 53.1          273 
 53.2          273 
 53.4          273 
 53.5          273 
 53.6          273 
 53.8          255 
