时间,微压差
0.1,194
0.2,194
0.4,195
0.7,195
0.8,197
1,197
1.1,197
1.3,197
1.6,197
1.8,197
2,197
2.1,198
2.2,198
2.4,199
2.5,199
2.7,199
2.9,199
3,199
3.1,199
3.3,199
3.4,200
3.5,200
3.6,201
3.7,201
4,202
4.2,202
4.4,202
4.6,202
4.8,202
4.9,203
5.1,205
5.2,205
5.4,205
5.6,205
5.8,205
5.9,205
6.1,205
6.2,205
6.4,207
6.6,207
6.8,207
6.9,207
7.1,207
7.2,207
7.4,207
7.6,207
7.8,209
7.9,209
8.2,211
8.3,211
8.6,211
8.8,211
9,211
9.2,211
9.3,212
9.5,212
9.8,212
10,212
10.2,212
10.3,212
10.6,212
10.8,214
11,215
11.2,215
11.4,215
11.6,215
11.8,215
12,216
12.2,216
12.4,216
12.6,216
12.8,216
13,216
13.2,216
13.3,216
13.5,182
13.7,184
13.9,184
14.1,185
14.4,185
14.6,185
14.8,186
15.1,188
15.3,189
15.5,189
15.7,189
15.8,189
16.1,189
16.3,189
16.6,190
16.8,192
17.1,192
17.3,192
17.5,192
17.6,192
17.8,192
18,194
18.2,194
18.3,196
18.5,196
18.7,196
18.8,196
19,196
19.1,196
19.3,196
19.5,198
19.6,198
19.8,198
20,198
20.2,198
20.3,198
20.5,199
20.7,199
20.8,200
21.1,201
21.3,201
21.5,201
21.6,201
21.8,201
22.1,201
22.3,202
22.5,203
22.7,205
22.8,205
23,205
23.2,205
23.3,205
23.5,205
23.7,205
23.8,205
24,207
24.1,207
24.3,207
24.5,207
24.6,207
24.8,207
25,207
25.1,207
25.4,209
25.5,209
25.6,210
25.8,210
26,210
26.1,210
26.4,210
26.5,210
26.6,211
26.8,212
27,212
27.1,212
27.3,212
27.5,212
27.6,212
27.8,212
28.1,212
28.3,214
28.5,215
28.7,215
28.8,215
29.1,215
29.3,215
29.5,216
29.6,216
29.8,217
30,218
30.1,218
30.3,218
30.5,218
30.6,218
30.8,218
31,218
31.2,218
31.3,220
31.5,220
31.7,220
31.8,220
32,220
32.1,220
32.3,220
32.4,221
32.5,221
32.7,222
32.9,224
33,224
33.2,224
33.4,224
33.5,224
33.6,224
33.8,224
33.9,224
34,224
34.1,224
34.2,224
34.4,224
34.5,190
34.6,190
34.7,190
34.9,190
35,190
35.1,190
35.2,190
35.4,190
35.5,190
35.6,190
35.7,192
36,192
36.1,192
36.2,192
36.4,192
36.5,193
36.7,193
36.9,194
37,196
37.1,196
37.2,196
37.5,197
37.6,197
37.7,197
38,197
38.1,197
38.2,197
38.4,199
38.5,199
38.6,199
38.7,200
39,200
39.1,200
39.2,200
39.4,200
39.5,200
39.6,201
39.7,201
39.9,201
40,203
40.1,203
40.2,204
40.5,204
40.6,204
40.7,204
41,204
41.1,204
41.2,204
41.4,205
41.5,207
41.6,207
41.7,207
41.9,207
42.1,207
42.2,207
42.4,207
42.6,208
42.7,208
42.9,209
43.1,211
43.2,211
43.5,211
43.6,211
43.7,211
43.9,211
44.1,211
44.2,211
44.4,212
44.5,212
44.6,212
44.8,212
44.9,212
45,212
45.1,212
45.2,212
45.4,212
45.5,213
45.6,213
45.7,214
46,216
46.1,216
46.2,216
46.4,216
46.6,216
46.7,216
46.9,216
47,216
47.2,216
47.4,218
47.5,218
47.6,218
47.8,218
47.9,218
48,218
48.1,218
48.2,218
48.5,218
48.6,220
48.7,220
48.9,220
49,220
49.2,220
49.4,220
49.5,220
49.6,220
49.8,220
49.9,220
50,220
50.1,189
50.2,189
50.4,189
50.5,190
50.6,190
50.7,190
51,190
51.1,190
51.2,191
51.4,191
51.5,192
51.6,192
51.8,195
51.9,195
52,195
52.1,195
52.2,195
52.4,195
52.6,196
52.7,196
52.9,196
53,198
53.1,198
53.3,199
53.4,199
53.5,199
53.6,199
53.7,199
54,199
54.1,199
54.2,199
54.4,200
54.6,201
54.7,201
54.9,202
55,202
55.1,202
55.3,202
55.4,202
55.5,202
55.6,203
55.7,203
56,204
56.1,204
56.2,205
56.4,205
56.6,205
56.7,205
56.9,205
57.1,205
57.2,206
57.4,206
57.5,207
57.7,207
57.9,208
58.1,208
58.2,208
58.4,208
58.5,208
58.6,208
58.8,209
58.9,209
59,211
59.2,211
59.4,211
59.5,211
59.7,211
59.9,211
60,211
60.1,212
60.2,212
60.5,213
60.6,214
60.7,214
61,214
61.1,214
61.2,214
61.4,214
61.5,214
61.7,215
61.9,216
